Source,Indicator,Year,Value,Unit,Scale,Sex
WHO,Mortality rate (neonetal),1990,44.958753969,,,Total
WHO,Mortality rate (neonetal),2001,38.126913695,,,Total
WHO,Mortality rate (neonetal),1986,47.678246241,,,Total
WHO,Mortality rate (neonetal),1995,41.721691199,,,Total
WHO,Mortality rate (neonetal),1998,40.124193797,,,Total
WHO,Mortality rate (neonetal),2006,35.212499871,,,Total
WHO,Mortality rate (neonetal),1981,50.73756915,,,Total
WHO,Mortality rate (neonetal),1992,43.468427946,,,Total
WHO,Mortality rate (neonetal),2003,36.747169163,,,Total
WHO,Mortality rate (neonetal),1985,48.257705907,,,Total
WHO,Mortality rate (neonetal),1989,45.681908202,,,Total
WHO,Mortality rate (neonetal),2000,38.814882501,,,Total
WHO,Mortality rate (neonetal),1984,48.837736646,,,Total
WHO,Mortality rate (neonetal),1994,42.25207685,,,Total
UNDP,HDI Rank,2023,173.0,,,
UNDP,Human Development Index (value),1990,0.351,,,
UNDP,Human Development Index (value),1991,0.358,,,
UNDP,Human Development Index (value),1992,0.363,,,
UNDP,Human Development Index (value),1993,0.371,,,
UNDP,Human Development Index (value),1994,0.375,,,
UNDP,Human Development Index (value),1995,0.383,,,
UNDP,Human Development Index (value),1996,0.389,,,
UNDP,Human Development Index (value),1997,0.396,,,
UNDP,Human Development Index (value),1998,0.401,,,
UNDP,Human Development Index (value),1999,0.407,,,
UNDP,Human Development Index (value),2000,0.415,,,
UNDP,Human Development Index (value),2001,0.426,,,
UNDP,Human Development Index (value),2002,0.435,,,
UNDP,Human Development Index (value),2003,0.442,,,
UNDP,Human Development Index (value),2004,0.449,,,
UNDP,Human Development Index (value),2005,0.456,,,
UNDP,Human Development Index (value),2006,0.462,,,
UNDP,Human Development Index (value),2007,0.469,,,
UNDP,Human Development Index (value),2008,0.475,,,
UNDP,Human Development Index (value),2009,0.48,,,
UNDP,Human Development Index (value),2010,0.485,,,
UNDP,Human Development Index (value),2011,0.49,,,
UNDP,Human Development Index (value),2012,0.497,,,
UNDP,Human Development Index (value),2013,0.506,,,
UNDP,Human Development Index (value),2014,0.509,,,
UNDP,Human Development Index (value),2015,0.511,,,
UNDP,Human Development Index (value),2016,0.51,,,
UNDP,Human Development Index (value),2017,0.507,,,
UNDP,Human Development Index (value),2018,0.507,,,
UNDP,Human Development Index (value),2019,0.507,,,
UNDP,Human Development Index (value),2020,0.504,,,
UNDP,Human Development Index (value),2021,0.506,,,
UNDP,Human Development Index (value),2022,0.512,,,
UNDP,Human Development Index (value),2023,0.515,,,
UNDP,Life Expectancy at Birth (years),1990,53.02,,,
UNDP,Life Expectancy at Birth (years),1991,53.441,,,
UNDP,Life Expectancy at Birth (years),1992,54.137,,,
UNDP,Life Expectancy at Birth (years),1993,54.612,,,
UNDP,Life Expectancy at Birth (years),1994,54.988,,,
UNDP,Life Expectancy at Birth (years),1995,55.366,,,
UNDP,Life Expectancy at Birth (years),1996,55.648,,,
UNDP,Life Expectancy at Birth (years),1997,55.986,,,
UNDP,Life Expectancy at Birth (years),1998,56.154,,,
UNDP,Life Expectancy at Birth (years),1999,56.336,,,
UNDP,Life Expectancy at Birth (years),2000,56.594,,,
UNDP,Life Expectancy at Birth (years),2001,56.654,,,
UNDP,Life Expectancy at Birth (years),2002,56.851,,,
UNDP,Life Expectancy at Birth (years),2003,57.092,,,
UNDP,Life Expectancy at Birth (years),2004,57.346,,,
UNDP,Life Expectancy at Birth (years),2005,57.738,,,
UNDP,Life Expectancy at Birth (years),2006,57.966,,,
UNDP,Life Expectancy at Birth (years),2007,58.249,,,
UNDP,Life Expectancy at Birth (years),2008,58.099,,,
UNDP,Life Expectancy at Birth (years),2009,58.258,,,
UNDP,Life Expectancy at Birth (years),2010,58.387,,,
UNDP,Life Expectancy at Birth (years),2011,58.462,,,
UNDP,Life Expectancy at Birth (years),2012,58.559,,,
UNDP,Life Expectancy at Birth (years),2013,58.863,,,
UNDP,Life Expectancy at Birth (years),2014,59.008,,,
UNDP,Life Expectancy at Birth (years),2015,59.123,,,
UNDP,Life Expectancy at Birth (years),2016,59.283,,,
UNDP,Life Expectancy at Birth (years),2017,59.528,,,
UNDP,Life Expectancy at Birth (years),2018,59.71,,,
UNDP,Life Expectancy at Birth (years),2019,59.888,,,
UNDP,Life Expectancy at Birth (years),2020,60.154,,,
UNDP,Life Expectancy at Birth (years),2021,59.61,,,
UNDP,Life Expectancy at Birth (years),2022,60.475,,,
UNDP,Life Expectancy at Birth (years),2023,60.774,,,
UNDP,Expected Years of Schooling (years),1990,4.814975057,,,
UNDP,Expected Years of Schooling (years),1991,4.95554642,,,
UNDP,Expected Years of Schooling (years),1992,5.10022171,,,
UNDP,Expected Years of Schooling (years),1993,5.24912074,,,
UNDP,Expected Years of Schooling (years),1994,5.402366821,,,
UNDP,Expected Years of Schooling (years),1995,5.560086862,,,
UNDP,Expected Years of Schooling (years),1996,5.72241148,,,
UNDP,Expected Years of Schooling (years),1997,5.899514256,,,
UNDP,Expected Years of Schooling (years),1998,6.076617031,,,
UNDP,Expected Years of Schooling (years),1999,6.253719807,,,
UNDP,Expected Years of Schooling (years),2000,6.516719818,,,
UNDP,Expected Years of Schooling (years),2001,7.11894989,,,
UNDP,Expected Years of Schooling (years),2002,7.580840111,,,
UNDP,Expected Years of Schooling (years),2003,7.986030102,,,
UNDP,Expected Years of Schooling (years),2004,8.376919746,,,
UNDP,Expected Years of Schooling (years),2005,8.762456894,,,
UNDP,Expected Years of Schooling (years),2006,9.147994041,,,
UNDP,Expected Years of Schooling (years),2007,9.533531189,,,
UNDP,Expected Years of Schooling (years),2008,9.919068336,,,
UNDP,Expected Years of Schooling (years),2009,10.30460548,,,
UNDP,Expected Years of Schooling (years),2010,10.69014263,,,
UNDP,Expected Years of Schooling (years),2011,11.07567978,,,
UNDP,Expected Years of Schooling (years),2012,11.59101009,,,
UNDP,Expected Years of Schooling (years),2013,12.10634041,,,
UNDP,Expected Years of Schooling (years),2014,12.12549973,,,
UNDP,Expected Years of Schooling (years),2015,12.34691048,,,
UNDP,Expected Years of Schooling (years),2016,12.16425037,,,
UNDP,Expected Years of Schooling (years),2017,11.69883275,,,
UNDP,Expected Years of Schooling (years),2018,11.23341513,,,
UNDP,Expected Years of Schooling (years),2019,10.7679975,,,
UNDP,Expected Years of Schooling (years),2020,10.30257988,,,
UNDP,Expected Years of Schooling (years),2021,10.37160969,,,
UNDP,Expected Years of Schooling (years),2022,10.4464798,,,
UNDP,Expected Years of Schooling (years),2023,10.4464798,,,
UNDP,Mean Years of Schooling (years),1990,1.452573865,,,
UNDP,Mean Years of Schooling (years),1991,1.529262549,,,
UNDP,Mean Years of Schooling (years),1992,1.610000014,,,
UNDP,Mean Years of Schooling (years),1993,1.695000017,,,
UNDP,Mean Years of Schooling (years),1994,1.780000019,,,
UNDP,Mean Years of Schooling (years),1995,1.865000021,,,
UNDP,Mean Years of Schooling (years),1996,1.950000024,,,
UNDP,Mean Years of Schooling (years),1997,2.035000026,,,
UNDP,Mean Years of Schooling (years),1998,2.120000029,,,
UNDP,Mean Years of Schooling (years),1999,2.205000031,,,
UNDP,Mean Years of Schooling (years),2000,2.290000033,,,
UNDP,Mean Years of Schooling (years),2001,2.375000036,,,
UNDP,Mean Years of Schooling (years),2002,2.460000038,,,
UNDP,Mean Years of Schooling (years),2003,2.472683366,,,
UNDP,Mean Years of Schooling (years),2004,2.485366694,,,
UNDP,Mean Years of Schooling (years),2005,2.498050022,,,
UNDP,Mean Years of Schooling (years),2006,2.51073335,,,
UNDP,Mean Years of Schooling (years),2007,2.523416678,,,
UNDP,Mean Years of Schooling (years),2008,2.536100006,,,
UNDP,Mean Years of Schooling (years),2009,2.548783334,,,
UNDP,Mean Years of Schooling (years),2010,2.561466662,,,
UNDP,Mean Years of Schooling (years),2011,2.57414999,,,
UNDP,Mean Years of Schooling (years),2012,2.586833318,,,
UNDP,Mean Years of Schooling (years),2013,2.599516646,,,
UNDP,Mean Years of Schooling (years),2014,2.612199974,,,
UNDP,Mean Years of Schooling (years),2015,2.624883302,,,
UNDP,Mean Years of Schooling (years),2016,2.63756663,,,
UNDP,Mean Years of Schooling (years),2017,2.650249958,,,
UNDP,Mean Years of Schooling (years),2018,2.841894984,,,
UNDP,Mean Years of Schooling (years),2019,3.03354001,,,
UNDP,Mean Years of Schooling (years),2020,3.113870025,,,
UNDP,Mean Years of Schooling (years),2021,3.194200039,,,
UNDP,Mean Years of Schooling (years),2022,3.194200039,,,
UNDP,Mean Years of Schooling (years),2023,3.194200039,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1990,2226.929974,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1991,2260.339349,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1992,2211.5574,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1993,2280.659702,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1994,2232.914425,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1995,2322.799094,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1996,2362.786395,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1997,2441.994156,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1998,2481.528997,,,
UNDP,Gross National Income Per Capita (2021 PPP$),1999,2540.646105,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2000,2608.492032,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2001,2664.875134,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2002,2698.758313,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2003,2707.628873,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2004,2746.120811,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2005,2714.79795,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2006,2732.586446,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2007,2809.678731,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2008,2874.903394,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2009,2849.984213,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2010,2819.911685,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2011,2831.206641,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2012,2869.225288,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2013,2988.908003,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2014,3090.145533,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2015,3042.714164,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2016,3050.897721,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2017,3123.176038,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2018,3239.335488,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2019,3363.48276,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2020,3394.211342,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2021,3557.079405,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2022,3666.362316,,,
UNDP,Gross National Income Per Capita (2021 PPP$),2023,3805.527516,,,
UNDP,GDI Group,2023,5.0,,,
UNDP,Gender Development Index (value),1995,0.736,,,
UNDP,Gender Development Index (value),1996,0.763,,,
UNDP,Gender Development Index (value),1997,0.767,,,
UNDP,Gender Development Index (value),1998,0.777,,,
UNDP,Gender Development Index (value),1999,0.786,,,
UNDP,Gender Development Index (value),2000,0.789,,,
UNDP,Gender Development Index (value),2001,0.792,,,
UNDP,Gender Development Index (value),2002,0.786,,,
UNDP,Gender Development Index (value),2003,0.794,,,
UNDP,Gender Development Index (value),2004,0.802,,,
UNDP,Gender Development Index (value),2005,0.807,,,
UNDP,Gender Development Index (value),2006,0.812,,,
UNDP,Gender Development Index (value),2007,0.816,,,
UNDP,Gender Development Index (value),2008,0.819,,,
UNDP,Gender Development Index (value),2009,0.822,,,
UNDP,Gender Development Index (value),2010,0.838,,,
UNDP,Gender Development Index (value),2011,0.838,,,
UNDP,Gender Development Index (value),2012,0.836,,,
UNDP,Gender Development Index (value),2013,0.841,,,
UNDP,Gender Development Index (value),2014,0.844,,,
UNDP,Gender Development Index (value),2015,0.85,,,
UNDP,Gender Development Index (value),2016,0.858,,,
UNDP,Gender Development Index (value),2017,0.859,,,
UNDP,Gender Development Index (value),2018,0.859,,,
UNDP,Gender Development Index (value),2019,0.848,,,
UNDP,Gender Development Index (value),2020,0.862,,,
UNDP,Gender Development Index (value),2021,0.86,,,
UNDP,Gender Development Index (value),2022,0.85,,,
UNDP,Gender Development Index (value),2023,0.866,,,
UNDP,HDI female,1995,0.322711761,,,
UNDP,HDI female,1996,0.334500644,,,
UNDP,HDI female,1997,0.341877286,,,
UNDP,HDI female,1998,0.349354441,,,
UNDP,HDI female,1999,0.357049572,,,
UNDP,HDI female,2000,0.364689385,,,
UNDP,HDI female,2001,0.37514219,,,
UNDP,HDI female,2002,0.381103481,,,
UNDP,HDI female,2003,0.389654871,,,
UNDP,HDI female,2004,0.398172314,,,
UNDP,HDI female,2005,0.405324138,,,
UNDP,HDI female,2006,0.412623055,,,
UNDP,HDI female,2007,0.420711849,,,
UNDP,HDI female,2008,0.426501663,,,
UNDP,HDI female,2009,0.432081764,,,
UNDP,HDI female,2010,0.441295112,,,
UNDP,HDI female,2011,0.446169637,,,
UNDP,HDI female,2012,0.451911827,,,
UNDP,HDI female,2013,0.462021235,,,
UNDP,HDI female,2014,0.465636303,,,
UNDP,HDI female,2015,0.469652649,,,
UNDP,HDI female,2016,0.471091827,,,
UNDP,HDI female,2017,0.469022487,,,
UNDP,HDI female,2018,0.468718876,,,
UNDP,HDI female,2019,0.464944173,,,
UNDP,HDI female,2020,0.466944241,,,
UNDP,HDI female,2021,0.468391184,,,
UNDP,HDI female,2022,0.470536618,,,
UNDP,HDI female,2023,0.478741675,,,
UNDP,"Life Expectancy at Birth, female (years)",1990,55.899,,,
UNDP,"Life Expectancy at Birth, female (years)",1991,56.247,,,
UNDP,"Life Expectancy at Birth, female (years)",1992,56.863,,,
UNDP,"Life Expectancy at Birth, female (years)",1993,57.119,,,
UNDP,"Life Expectancy at Birth, female (years)",1994,57.331,,,
UNDP,"Life Expectancy at Birth, female (years)",1995,57.552,,,
UNDP,"Life Expectancy at Birth, female (years)",1996,57.613,,,
UNDP,"Life Expectancy at Birth, female (years)",1997,57.91,,,
UNDP,"Life Expectancy at Birth, female (years)",1998,58.015,,,
UNDP,"Life Expectancy at Birth, female (years)",1999,58.169,,,
UNDP,"Life Expectancy at Birth, female (years)",2000,58.286,,,
UNDP,"Life Expectancy at Birth, female (years)",2001,58.249,,,
UNDP,"Life Expectancy at Birth, female (years)",2002,58.292,,,
UNDP,"Life Expectancy at Birth, female (years)",2003,58.409,,,
UNDP,"Life Expectancy at Birth, female (years)",2004,58.565,,,
UNDP,"Life Expectancy at Birth, female (years)",2005,58.903,,,
UNDP,"Life Expectancy at Birth, female (years)",2006,59.13,,,
UNDP,"Life Expectancy at Birth, female (years)",2007,59.365,,,
UNDP,"Life Expectancy at Birth, female (years)",2008,59.095,,,
UNDP,"Life Expectancy at Birth, female (years)",2009,59.178,,,
UNDP,"Life Expectancy at Birth, female (years)",2010,59.265,,,
UNDP,"Life Expectancy at Birth, female (years)",2011,59.33,,,
UNDP,"Life Expectancy at Birth, female (years)",2012,59.45,,,
UNDP,"Life Expectancy at Birth, female (years)",2013,59.798,,,
UNDP,"Life Expectancy at Birth, female (years)",2014,59.96,,,
UNDP,"Life Expectancy at Birth, female (years)",2015,60.096,,,
UNDP,"Life Expectancy at Birth, female (years)",2016,60.291,,,
UNDP,"Life Expectancy at Birth, female (years)",2017,60.632,,,
UNDP,"Life Expectancy at Birth, female (years)",2018,60.752,,,
UNDP,"Life Expectancy at Birth, female (years)",2019,61.069,,,
UNDP,"Life Expectancy at Birth, female (years)",2020,61.569,,,
UNDP,"Life Expectancy at Birth, female (years)",2021,60.825,,,
UNDP,"Life Expectancy at Birth, female (years)",2022,61.75,,,
UNDP,"Life Expectancy at Birth, female (years)",2023,62.208,,,
UNDP,"Expected Years of Schooling, female (years)",1995,3.658010443,,,
UNDP,"Expected Years of Schooling, female (years)",1996,3.878782417,,,
UNDP,"Expected Years of Schooling, female (years)",1997,4.142831581,,,
UNDP,"Expected Years of Schooling, female (years)",1998,4.406880745,,,
UNDP,"Expected Years of Schooling, female (years)",1999,4.670929909,,,
UNDP,"Expected Years of Schooling, female (years)",2000,4.942880154,,,
UNDP,"Expected Years of Schooling, female (years)",2001,5.458889961,,,
UNDP,"Expected Years of Schooling, female (years)",2002,5.883880138,,,
UNDP,"Expected Years of Schooling, female (years)",2003,6.240920067,,,
UNDP,"Expected Years of Schooling, female (years)",2004,6.65970993,,,
UNDP,"Expected Years of Schooling, female (years)",2005,7.073754174,,,
UNDP,"Expected Years of Schooling, female (years)",2006,7.487798418,,,
UNDP,"Expected Years of Schooling, female (years)",2007,7.901842662,,,
UNDP,"Expected Years of Schooling, female (years)",2008,8.315886906,,,
UNDP,"Expected Years of Schooling, female (years)",2009,8.72993115,,,
UNDP,"Expected Years of Schooling, female (years)",2010,9.143975394,,,
UNDP,"Expected Years of Schooling, female (years)",2011,9.558019638,,,
UNDP,"Expected Years of Schooling, female (years)",2012,10.08373499,,,
UNDP,"Expected Years of Schooling, female (years)",2013,10.60945034,,,
UNDP,"Expected Years of Schooling, female (years)",2014,10.70143986,,,
UNDP,"Expected Years of Schooling, female (years)",2015,11.02536964,,,
UNDP,"Expected Years of Schooling, female (years)",2016,11.04596043,,,
UNDP,"Expected Years of Schooling, female (years)",2017,10.65008783,,,
UNDP,"Expected Years of Schooling, female (years)",2018,10.25421524,,,
UNDP,"Expected Years of Schooling, female (years)",2019,9.858342648,,,
UNDP,"Expected Years of Schooling, female (years)",2020,9.462470055,,,
UNDP,"Expected Years of Schooling, female (years)",2021,9.604929924,,,
UNDP,"Expected Years of Schooling, female (years)",2022,9.752129555,,,
UNDP,"Expected Years of Schooling, female (years)",2023,9.752129555,,,
UNDP,"Mean Years of Schooling, female (years)",1990,0.768114139,,,
UNDP,"Mean Years of Schooling, female (years)",1991,0.833684858,,,
UNDP,"Mean Years of Schooling, female (years)",1992,0.899255577,,,
UNDP,"Mean Years of Schooling, female (years)",1993,0.964826297,,,
UNDP,"Mean Years of Schooling, female (years)",1994,1.030397016,,,
UNDP,"Mean Years of Schooling, female (years)",1995,1.095967735,,,
UNDP,"Mean Years of Schooling, female (years)",1996,1.161538454,,,
UNDP,"Mean Years of Schooling, female (years)",1997,1.227109173,,,
UNDP,"Mean Years of Schooling, female (years)",1998,1.292679893,,,
UNDP,"Mean Years of Schooling, female (years)",1999,1.358250612,,,
UNDP,"Mean Years of Schooling, female (years)",2000,1.423821331,,,
UNDP,"Mean Years of Schooling, female (years)",2001,1.466910661,,,
UNDP,"Mean Years of Schooling, female (years)",2002,1.50999999,,,
UNDP,"Mean Years of Schooling, female (years)",2003,1.519502656,,,
UNDP,"Mean Years of Schooling, female (years)",2004,1.529005321,,,
UNDP,"Mean Years of Schooling, female (years)",2005,1.538507986,,,
UNDP,"Mean Years of Schooling, female (years)",2006,1.548010651,,,
UNDP,"Mean Years of Schooling, female (years)",2007,1.557513316,,,
UNDP,"Mean Years of Schooling, female (years)",2008,1.567015982,,,
UNDP,"Mean Years of Schooling, female (years)",2009,1.576518647,,,
UNDP,"Mean Years of Schooling, female (years)",2010,1.586021312,,,
UNDP,"Mean Years of Schooling, female (years)",2011,1.595523977,,,
UNDP,"Mean Years of Schooling, female (years)",2012,1.605026642,,,
UNDP,"Mean Years of Schooling, female (years)",2013,1.614529308,,,
UNDP,"Mean Years of Schooling, female (years)",2014,1.624031973,,,
UNDP,"Mean Years of Schooling, female (years)",2015,1.633534638,,,
UNDP,"Mean Years of Schooling, female (years)",2016,1.643037303,,,
UNDP,"Mean Years of Schooling, female (years)",2017,1.652539968,,,
UNDP,"Mean Years of Schooling, female (years)",2018,1.807959974,,,
UNDP,"Mean Years of Schooling, female (years)",2019,1.963379979,,,
UNDP,"Mean Years of Schooling, female (years)",2020,2.006424963,,,
UNDP,"Mean Years of Schooling, female (years)",2021,2.049469948,,,
UNDP,"Mean Years of Schooling, female (years)",2022,2.049469948,,,
UNDP,"Mean Years of Schooling, female (years)",2023,2.049469948,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1990,1401.057496,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1991,1421.175677,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1992,1574.949524,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1993,1662.808597,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1994,1756.73174,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1995,1981.814629,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1996,2291.194942,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1997,2248.946294,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1998,2267.951956,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",1999,2304.480164,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",2000,2349.024138,,,
UNDP,"Gross National Income Per Capita, female (2021 PPP$)",2001,2378.233595,,,
